============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 19 2019  11:38:18 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12         112     757.120      1.506     134.462    CORE65LPSVT 
HS65_LSS_XNOR2X18          78     811.200      1.717     130.249    CORE65LPSVT 
HS65_LSS_XNOR2X24          23     287.040      0.681      62.869    CORE65LPSVT 
HS65_LSS_XNOR2X3           10      41.600      0.036       4.052    CORE65LPSVT 
HS65_LSS_XNOR2X6          309    1285.440      2.096     242.998    CORE65LPSVT 
HS65_LSS_XOR2X3            40     166.400      0.142      11.105    CORE65LPSVT 
HS65_LSS_XOR2X6           173     719.680      1.047     139.694    CORE65LPSVT 
HS65_LS_AND2ABX18           5      20.800      0.044       1.172    CORE65LPSVT 
HS65_LS_AND2ABX35           4      24.960      0.085      12.378    CORE65LPSVT 
HS65_LS_AND2X18            78     283.920      0.716      61.066    CORE65LPSVT 
HS65_LS_AND2X27            47     268.840      0.765      58.396    CORE65LPSVT 
HS65_LS_AND2X35            37     230.880      0.815      74.653    CORE65LPSVT 
HS65_LS_AND2X4            606    1575.600      1.268     163.045    CORE65LPSVT 
HS65_LS_AND2X9            107     333.840      0.524      58.580    CORE65LPSVT 
HS65_LS_AND3X9              5      18.200      0.015       0.151    CORE65LPSVT 
HS65_LS_AO112X9            34     141.440      0.177      15.786    CORE65LPSVT 
HS65_LS_AO12X18            85     353.600      0.902      84.275    CORE65LPSVT 
HS65_LS_AO12X9            293    1066.520      1.321     144.589    CORE65LPSVT 
HS65_LS_AO311X27           33     343.200      0.511      52.053    CORE65LPSVT 
HS65_LS_AO312X18          103     642.720      1.023     105.397    CORE65LPSVT 
HS65_LS_AO312X9            66     377.520      0.301      35.480    CORE65LPSVT 
HS65_LS_AO31X18            34     176.800      0.328      31.486    CORE65LPSVT 
HS65_LS_AO31X9             34     141.440      0.142      12.566    CORE65LPSVT 
HS65_LS_AOI12X12          129     670.800      1.359      72.399    CORE65LPSVT 
HS65_LS_AOI12X17          164    1108.640      2.674     129.260    CORE65LPSVT 
HS65_LS_AOI12X2            33      85.800      0.046       5.947    CORE65LPSVT 
HS65_LS_AOI12X23           68     601.120      1.545      69.069    CORE65LPSVT 
HS65_LS_AOI12X3             1       3.120      0.002       0.282    CORE65LPSVT 
HS65_LS_AOI12X35           47     611.000      1.561     118.819    CORE65LPSVT 
