============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 19 2019  11:38:19 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                   Leakage    Dynamic     Total   
          Instance          Cells Power(uW)  Power(uW)  Power(uW) 
------------------------------------------------------------------
FME_INTER_4                 92345   687.794 261438.280 262126.074 
  U_inter                   27843   348.363  65476.079  65824.442 
  U_buffer                  60481   294.652 168741.921 169036.573 
  U_crtl                       91     0.466    185.788    186.254 
  clipping[0].U_clip           15     0.107     18.731     18.839 
  clipping[14].U_clip          15     0.098     16.354     16.452 
  clipping[20].U_clip          15     0.094     13.646     13.740 
  clipping[2].U_clip           15     0.094     13.451     13.545 
  clipping[18].U_clip          15     0.094     13.928     14.022 
  clipping[24].U_clip          15     0.094     16.111     16.205 
  clipping[15].U_clip          15     0.092     16.800     16.893 
  clipping[29].U_clip          15     0.092     17.825     17.917 
  clipping[27].U_clip          15     0.090     15.844     15.934 
  clipping[21].U_clip          15     0.089     15.351     15.440 
  clipping[11].U_clip          15     0.088     11.851     11.939 
  clipping[6].U_clip           15     0.088     13.478     13.566 
  clipping[23].U_clip          15     0.088     16.517     16.605 
  clipping[30].U_clip          15     0.087     17.343     17.431 
  clipping[8].U_clip           15     0.087     12.840     12.927 
  clipping[26].U_clip          15     0.087     15.697     15.784 
  clipping[3].U_clip           15     0.086     13.139     13.226 
  clipping[17].U_clip          15     0.083     12.099     12.183 
  clipping[32].U_clip          15     0.082     15.056     15.139 
  clipping[5].U_clip           15     0.082     13.161     13.243 
  clipping[12].U_clip          15     0.081     10.871     10.952 
  clipping[9].U_clip           15     0.081     12.980     13.061 
  clipping[28].U_clip          12     0.058     14.930     14.988 
  clipping[1].U_clip           12     0.058     13.046     13.104 
  clipping[16].U_clip          12     0.058     13.435     13.493 
  clipping[4].U_clip           12     0.058     13.607     13.665 
  clipping[7].U_clip           12     0.058     13.475     13.533 
  clipping[13].U_clip          12     0.058     12.826     12.884 
  clipping[31].U_clip          12     0.058     14.637     14.695 
  clipping[19].U_clip          12     0.058     13.180     13.238 
  clipping[25].U_clip          12     0.058     13.994     14.051 
  clipping[10].U_clip          12     0.057     11.747     11.805 
  clipping[22].U_clip          12     0.057     11.874     11.931 
  clipping[9..ip_gte_592_34     6     0.041      6.729      6.770 
  clipping[9..ip_gte_592_34     6     0.039      6.338      6.376 
  clipping[6..ip_gte_592_34     6     0.036      4.967      5.003 
  clipping[7..ip_gte_592_34     6     0.035      6.264      6.299 
  clipping[7..ip_gte_592_34     6     0.035      7.572      7.607 
  clipping[8..ip_gte_592_34     6     0.034      6.116      6.150 
  clipping[5..ip_gte_592_34     6     0.033      6.416      6.450 
  clipping[4..ip_gte_592_34     6     0.033      4.287      4.320 
  clipping[7..ip_gte_592_34     6     0.032      7.517      7.549 
  clipping[8..ip_gte_592_34     6     0.032      6.622      6.654 
  clipping[8..ip_gte_592_34     6     0.032      6.688      6.720 
  clipping[5..ip_gte_592_34     6     0.031      5.803      5.834 
  clipping[8..ip_gte_592_34     6     0.031      6.205      6.236 
  clipping[4..ip_gte_592_34     6     0.031      6.526      6.557 
  clipping[8..ip_gte_592_34     6     0.031      5.431      5.462 
  clipping[6..ip_gte_592_34     6     0.031      5.419      5.450 
  clipping[4..ip_gte_592_34     6     0.030      6.491      6.521 
  clipping[5..ip_gte_592_34     6     0.030      6.614      6.644 
  clipping[6..ip_gte_592_34     6     0.030      5.577      5.607 
  clipping[6..ip_gte_592_34     6     0.030      7.141      7.171 
  clipping[8..ip_gte_592_34     6     0.030      5.389      5.419 
  clipping[7..ip_gte_592_34     6     0.030      6.409      6.439 
  clipping[3..ip_gte_592_34     6     0.030      4.920      4.950 
  clipping[3..ip_gte_592_34     6     0.030      7.385      7.415 
  clipping[5..ip_gte_592_34     6     0.030      5.845      5.874 
  clipping[6..ip_gte_592_34     6     0.030      5.888      5.918 
  clipping[7..ip_gte_592_34     6     0.030      5.226      5.255 
  clipping[9..ip_gte_592_34     6     0.030      7.060      7.089 
  clipping[4..ip_gte_592_34     6     0.030      6.778      6.807 
  clipping[5..ip_gte_592_34     6     0.029      6.244      6.274 
  clipping[3..ip_gte_592_34     6     0.029      5.895      5.925 
  clipping[6..ip_gte_592_34     6     0.029      4.639      4.668 
  clipping[3..ip_gte_592_34     6     0.029      5.860      5.889 
  clipping[9..ip_gte_592_34     6     0.029      4.895      4.924 
  clipping[7..ip_gte_592_34     6     0.029      6.161      6.189 
  clipping[5..ip_gte_592_34     6     0.029      6.030      6.059 
  clipping[3..ip_gte_592_34     6     0.029      5.382      5.411 
  clipping[4..ip_gte_592_34     6     0.029      6.418      6.447 
  clipping[4..ip_gte_592_34     6     0.029      7.204      7.233 
  clipping[6..ip_gte_592_34     6     0.028      5.376      5.405 
  clipping[9..ip_gte_592_34     6     0.028      5.514      5.543 
  clipping[5..ip_gte_592_34     6     0.028      5.774      5.803 
  clipping[9..ip_gte_592_34     6     0.028      5.585      5.613 
  clipping[8..ip_gte_592_34     6     0.028      4.205      4.233 
  clipping[4..ip_gte_592_34     4     0.019      5.282      5.301 
  clipping[3..ip_gte_592_34     4     0.019      5.881      5.900 
  clipping[6..ip_gte_592_34     4     0.019      5.842      5.861 
  clipping[8..ip_gte_592_34     4     0.019      4.997      5.016 
  clipping[5..ip_gte_592_34     4     0.019      4.510      4.529 
  clipping[6..ip_gte_592_34     4     0.019      5.568      5.587 
  clipping[7..ip_gte_592_34     4     0.019      5.384      5.403 
  clipping[5..ip_gte_592_34     4     0.019      5.133      5.152 
  clipping[5..ip_gte_592_34     4     0.019      5.000      5.019 
  clipping[3..ip_gte_592_34     4     0.019      5.093      5.112 
  clipping[9..ip_gte_592_34     4     0.019      5.626      5.645 
  clipping[9..ip_gte_592_34     4     0.019      5.845      5.864 
  clipping[7..ip_gte_592_34     4     0.019      4.919      4.938 
  clipping[7..ip_gte_592_34     4     0.019      6.146      6.164 
  clipping[8..ip_gte_592_34     4     0.019      5.419      5.438 
  clipping[4..ip_gte_592_34     4     0.019      5.602      5.621 
  clipping[6..ip_gte_592_34     4     0.019      5.190      5.209 
  clipping[4..ip_gte_592_34     4     0.019      4.734      4.753 
  clipping[7..ip_gte_592_34     4     0.019      5.069      5.087 
  clipping[9..ip_gte_592_34     4     0.019      4.796      4.815 
  clipping[8..ip_gte_592_34     4     0.019      5.010      5.028 
  clipping[4..ip_gte_592_34     4     0.018      5.179      5.197 

