============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  05:15:40 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

               Instance                                  Module                    Cells  Cell Area  Net Area   Total Area 
---------------------------------------------------------------------------------------------------------------------------
FME_INTER_4                                                                       152974    1033532    394720      1428252 
  U_inter                             interpolation_bit_width10                    44037     244417     90204       334621 
    PUs[5].U_F8                       filter_4_bit_width10_5                         694       3867      1360         5228 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_12_5223       60        593       120          713 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_12_5222        55        575       111          686 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_5         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_5        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_12_5221       45        391        88          479 
    PUs[0].U_F8                       filter_4_bit_width10                           682       3874      1335         5209 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_5198          55        601       111          712 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_5197           55        576       111          687 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194           89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196          88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_5195          45        396        88          484 
    PUs[3].U_F8                       filter_4_bit_width10_3                         682       3866      1335         5202 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_10_5213       55        582       111          693 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_10_5212        55        581       111          693 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_3         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_3        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_10_5211       45        391        88          478 
    PUs[1].U_F8                       filter_4_bit_width10_1                         678       3868      1331         5199 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_1_5202         55        578       111          689 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_1_5203        55        568       111          679 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_1         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_1        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_1_5201        45        408        88          496 
    PUs[14].U_F8                      filter_4_bit_width10_14                        688       3832      1348         5180 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_6_5267         55        573       111          684 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_6_5268        55        572       111          683 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_14        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_14       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_6_5266        45        399        88          487 
    PUs[2].U_F8                       filter_4_bit_width10_2                         686       3827      1348         5174 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_9_5207         60        577       120          697 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_9_5208        55        571       111          683 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_2         89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_2        88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_9_5206        45        395        88          483 
    PUs[10].U_F8                      filter_4_bit_width10_10                        681       3825      1335         5161 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_2_5247         55        578       111          689 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_2_5248        55        576       111          687 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_10        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_10       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_2_5246        45        396        88          484 
    PUs[13].U_F8                      filter_4_bit_width10_13                        683       3819      1338         5158 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_5_5263        55        574       111          685 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_5_5262         55        566       111          678 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_13        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_13       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_5_5261        45        391        88          479 
    PUs[11].U_F8                      filter_4_bit_width10_11                        682       3808      1342         5150 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_3_5252         55        570       111          681 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_3_5253        55        568       111          679 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_11        89        489       159          648 
      csa_tree_U_S22_add_18_16_groupi csa_tree_U_S22_add_18_16_group_27_5196_11       88        460       157          617 
      csa_tree_U_S13_add_18_10_groupi csa_tree_U_S13_add_18_10_group_25_3_5251        45        398        88          485 
    PUs[8].U_F8                       filter_4_bit_width10_8                         684       3805      1342         5147 
      csa_tree_U_s23_add_18_10_groupi csa_tree_U_s23_add_18_10_group_21_15_5238       55        569       111          680 
      csa_tree_U_s3_add_18_10_groupi  csa_tree_U_s3_add_18_10_group_23_15_5237        55        566       111          678 
      csa_tree_U_S2_add_18_16_groupi  csa_tree_U_S2_add_18_16_group_29_5194_8         89        489       159          648 
