============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  05:16:14 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library     
----------------------------------------------------------------------------------
HS65_LSS_XNOR2X12         170     1149.200      2.200     259.069    CORE65LPSVT  
HS65_LSS_XNOR2X18          55      572.000      1.163     128.283    CORE65LPSVT  
HS65_LSS_XNOR2X24           5       62.400      0.140      17.932    CORE65LPSVT  
HS65_LSS_XNOR2X3            5       20.800      0.017       1.599    CORE65LPSVT  
HS65_LSS_XNOR2X6          711     2957.760      4.828     355.050    CORE65LPSVT  
HS65_LSS_XOR2X12            8       49.920      0.110      10.114    CORE65LPSVT  
HS65_LSS_XOR2X6           121      503.360      0.714      66.388    CORE65LPSVT  
HS65_LS_AND2ABX18           1        4.160      0.009       0.987    CORE65LPSVT  
HS65_LS_AND2ABX9            2        7.280      0.008       0.000    CORE65LPSVT  
HS65_LS_AND2X18           132      480.480      1.216      79.474    CORE65LPSVT  
HS65_LS_AND2X27           149      852.280      1.990     131.174    CORE65LPSVT  
HS65_LS_AND2X35           118      736.320      2.175     130.109    CORE65LPSVT  
HS65_LS_AND2X4           1071     2784.600      2.137     208.698    CORE65LPSVT  
HS65_LS_AND2X9            115      358.800      0.444      33.925    CORE65LPSVT  
HS65_LS_AO112X18           26      121.680      0.272      20.786    CORE65LPSVT  
HS65_LS_AO112X27            1        8.840      0.016       1.405    CORE65LPSVT  
HS65_LS_AO112X9           232      965.120      1.183     101.573    CORE65LPSVT  
HS65_LS_AO12X18           159      661.440      1.683     140.199    CORE65LPSVT  
HS65_LS_AO12X9            417     1517.880      2.041     215.509    CORE65LPSVT  
HS65_LS_AO222X4         39169   224046.680    112.647   27722.672    CORE65LPSVT  
HS65_LS_AO222X9          2745    17128.800     13.241    2769.391    CORE65LPSVT  
