============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:44:26 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
FME_INTER_6                   24092   115.991 20077.309 15462.819      35540.128         35656.120 
  U_buffer                    16516    73.088 14650.773  8624.632      23275.404         23348.492 
  U_inter                      5938    31.695  3390.875  4368.583       7759.458          7791.153 
    csa_tree_P.._18_10_groupi    49     0.259    36.967    39.581         76.548            76.808 
    csa_tree_P.._18_10_groupi    49     0.259    37.128    39.602         76.730            76.989 
    csa_tree_P.._18_10_groupi    49     0.259    37.606    40.423         78.029            78.288 
    csa_tree_P.._18_10_groupi    49     0.259    38.642    41.641         80.283            80.542 
    csa_tree_P.._18_10_groupi    49     0.259    38.093    40.563         78.656            78.915 
    csa_tree_P.._18_10_groupi    49     0.259    38.256    41.053         79.309            79.568 
    csa_tree_P.._18_10_groupi    49     0.259    37.325    39.972         77.297            77.556 
    csa_tree_P.._18_10_groupi    49     0.259    37.943    40.917         78.860            79.119 
    csa_tree_P.._18_10_groupi    49     0.259    36.691    42.153         78.844            79.103 
    csa_tree_P.._18_10_groupi    49     0.259    34.306    36.625         70.931            71.190 
    csa_tree_P.._18_10_groupi    49     0.259    35.989    41.212         77.201            77.461 
    csa_tree_P.._18_10_groupi    49     0.259    36.123    41.448         77.570            77.829 
    csa_tree_P.._18_10_groupi    49     0.259    35.671    38.329         74.000            74.259 
    csa_tree_P.._18_10_groupi    49     0.259    36.855    39.575         76.430            76.689 
    csa_tree_P.._18_10_groupi    49     0.259    34.001    38.817         72.819            73.078 
    csa_tree_P.._18_10_groupi    49     0.259    36.218    41.379         77.597            77.856 
    csa_tree_P.._18_10_groupi    49     0.259    35.221    40.297         75.518            75.777 
    csa_tree_P.._18_10_groupi    49     0.259    37.423    40.025         77.448            77.707 
    csa_tree_P.._18_10_groupi    49     0.259    38.034    40.703         78.737            78.996 
    csa_tree_P.._18_10_groupi    49     0.259    36.275    38.759         75.034            75.293 
    csa_tree_P.._18_10_groupi    49     0.259    37.249    42.555         79.804            80.063 
    csa_tree_P.._18_10_groupi    49     0.259    37.649    40.433         78.082            78.341 
    csa_tree_P.._18_10_groupi    49     0.259    37.826    40.391         78.218            78.477 
    csa_tree_P.._18_10_groupi    49     0.259    36.428    39.190         75.619            75.878 
    csa_tree_P.._18_10_groupi    49     0.259    35.986    40.813         76.798            77.057 
    csa_tree_P.._18_10_groupi    49     0.259    38.128    40.905         79.033            79.292 
    csa_tree_P.._18_10_groupi    49     0.259    36.540    39.383         75.923            76.182 
    csa_tree_P.._18_10_groupi    49     0.259    37.964    40.549         78.513            78.772 
    csa_tree_P.._18_10_groupi    49     0.259    37.762    43.010         80.772            81.031 
    csa_tree_P.._18_10_groupi    49     0.259    36.203    39.106         75.309            75.568 
    csa_tree_P.._18_10_groupi    49     0.259    36.443    38.895         75.338            75.597 
    csa_tree_P.._18_10_groupi    49     0.259    36.989    41.983         78.972            79.230 
    csa_tree_P.._18_10_groupi    49     0.259    36.441    39.124         75.564            75.823 
    csa_tree_P.._18_10_groupi    49     0.259    35.448    40.350         75.798            76.057 
    csa_tree_P.._18_10_groupi    33     0.186    20.238    21.304         41.541            41.727 
    csa_tree_P.._18_10_groupi    33     0.186    20.302    21.263         41.566            41.752 
    csa_tree_P.._18_10_groupi    33     0.185    21.213    22.306         43.519            43.704 
    csa_tree_P.._18_10_groupi    33     0.185    21.123    22.041         43.164            43.349 
    csa_tree_P.._18_10_groupi    33     0.185    22.793    23.760         46.553            46.738 
    csa_tree_P.._18_10_groupi    33     0.185    20.119    21.147         41.266            41.451 
    csa_tree_P.._18_10_groupi    32     0.182    21.593    22.999         44.592            44.775 
    csa_tree_P.._18_10_groupi    32     0.182    22.138    23.457         45.596            45.778 
    csa_tree_P.._18_10_groupi    32     0.182    20.252    21.524         41.776            41.958 
    csa_tree_P.._18_10_groupi    32     0.182    22.195    23.595         45.790            45.971 
    csa_tree_P.._18_10_groupi    32     0.182    21.292    22.390         43.681            43.863 
    csa_tree_P.._18_10_groupi    32     0.182    20.246    21.606         41.852            42.033 
    csa_tree_P.._18_10_groupi    32     0.182    19.055    20.383         39.438            39.620 
    csa_tree_P.._18_10_groupi    32     0.181    21.101    22.378         43.479            43.660 
    csa_tree_P.._18_10_groupi    32     0.181    22.013    23.089         45.103            45.284 
    csa_tree_P.._18_10_groupi    32     0.181    20.960    22.276         43.236            43.417 
    csa_tree_P.._18_10_groupi    32     0.181    21.442    22.838         44.280            44.461 
    csa_tree_P.._18_10_groupi    24     0.148    14.829    15.669         30.498            30.646 
    csa_tree_P.._18_10_groupi    24     0.147    14.236    15.120         29.356            29.504 
    csa_tree_P.._18_10_groupi    24     0.147    14.294    15.018         29.312            29.459 
    csa_tree_P.._18_10_groupi    24     0.147    14.869    15.800         30.669            30.816 
    csa_tree_P.._18_10_groupi    24     0.147    15.064    15.892         30.956            31.103 
    csa_tree_P.._18_10_groupi    24     0.147    13.092    13.803         26.896            27.043 
    csa_tree_P.._18_10_groupi    24     0.147    15.037    16.007         31.043            31.190 
    csa_tree_P.._18_10_groupi    24     0.147    14.262    15.107         29.370            29.517 
    csa_tree_P.._18_10_groupi    24     0.147    14.830    15.591         30.420            30.567 
    csa_tree_P.._18_10_groupi    24     0.147    14.354    15.164         29.518            29.665 
    csa_tree_P.._18_10_groupi    24     0.147    15.925    16.786         32.712            32.859 
    csa_tree_P.._18_10_groupi    24     0.147    14.883    15.643         30.526            30.673 
    csa_tree_P.._18_10_groupi    24     0.147    16.127    17.093         33.220            33.367 
    csa_tree_P.._18_10_groupi    24     0.147    14.220    15.070         29.290            29.437 
    csa_tree_P.._18_10_groupi    24     0.147    15.799    16.633         32.432            32.579 
    csa_tree_P.._18_10_groupi    24     0.147    14.999    15.904         30.903            31.050 
    csa_tree_P.._18_10_groupi    24     0.147    15.616    16.405         32.021            32.168 
    csa_tree_P.._18_10_groupi    24     0.147    16.135    16.990         33.124            33.271 
    csa_tree_P.._18_10_groupi    24     0.147    14.948    15.776         30.724            30.871 
    csa_tree_P.._18_10_groupi    24     0.147    14.337    15.110         29.447            29.594 
    csa_tree_P.._18_10_groupi    24     0.147    15.018    15.822         30.840            30.987 
    csa_tree_P.._18_10_groupi    24     0.147    15.614    16.459         32.073            32.220 
    csa_tree_P.._18_10_groupi    24     0.147    16.298    17.175         33.474            33.621 
    csa_tree_P.._18_10_groupi    24     0.147    15.865    16.778         32.644            32.791 
    csa_tree_P.._18_10_groupi    24     0.147    16.025    16.805         32.830            32.977 
    csa_tree_P.._18_10_groupi    24     0.147    15.424    16.289         31.712            31.859 
    csa_tree_P.._18_10_groupi    24     0.147    16.234    17.161         33.394            33.541 
    csa_tree_P.._18_10_groupi    24     0.147    15.851    16.830         32.681            32.828 
    csa_tree_P.._18_10_groupi    24     0.147    16.070    16.971         33.041            33.188 
    csa_tree_P.._18_10_groupi    24     0.147    13.972    14.712         28.684            28.831 
    csa_tree_P.._18_10_groupi    24     0.147    15.043    15.904         30.947            31.093 
    csa_tree_P.._18_10_groupi    24     0.147    16.333    17.336         33.669            33.816 
    csa_tree_P.._18_10_groupi    24     0.147    16.450    17.365         33.815            33.961 
    csa_tree_P.._18_10_groupi    24     0.147    13.814    14.675         28.489            28.635 
    csa_tree_P.._41_16_groupi    24     0.138    22.664    26.379         49.043            49.181 
    csa_tree_P.._41_16_groupi    24     0.138    22.704    23.800         46.504            46.642 
    csa_tree_P.._41_16_groupi    24     0.138    21.122    22.106         43.228            43.366 
    csa_tree_P.._41_16_groupi    24     0.138    22.881    24.060         46.941            47.079 
    csa_tree_P.._41_16_groupi    24     0.138    22.275    23.572         45.847            45.985 
    csa_tree_P.._41_16_groupi    24     0.138    21.557    25.426         46.983            47.121 
    csa_tree_P.._41_16_groupi    24     0.138    22.020    23.227         45.247            45.384 
    csa_tree_P.._41_16_groupi    24     0.138    21.578    25.024         46.602            46.740 
    csa_tree_P.._41_16_groupi    24     0.138    20.625    24.218         44.843            44.980 
    csa_tree_P.._41_16_groupi    24     0.138    22.758    26.700         49.459            49.596 
    csa_tree_P.._41_16_groupi    24     0.138    19.844    20.799         40.644            40.781 
    csa_tree_P.._41_16_groupi    24     0.137    22.397    23.345         45.742            45.879 
    csa_tree_P.._41_16_groupi    24     0.137    22.219    23.275         45.493            45.631 
    csa_tree_P.._41_16_groupi    24     0.137    21.519    22.390         43.909            44.046 
    csa_tree_P.._41_16_groupi    24     0.137    21.633    25.287         46.920            47.057 
    csa_tree_P.._41_16_groupi    24     0.137    22.887    23.995         46.882            47.019 
    csa_tree_P.._41_16_groupi    24     0.137    21.673    22.872         44.545            44.682 
    csa_tree_P.._18_10_groupi    20     0.110     9.014    10.428         19.442            19.553 
    csa_tree_P.._18_10_groupi    20     0.110     9.458    11.027         20.486            20.596 
    csa_tree_P.._18_10_groupi    20     0.110     8.808    10.199         19.007            19.117 
    csa_tree_P.._18_10_groupi    20     0.110     9.836    11.508         21.344            21.454 
    csa_tree_P.._18_10_groupi    20     0.110     8.610     9.898         18.508            18.618 
    csa_tree_P.._18_10_groupi    20     0.110     9.355    10.746         20.101            20.211 
    csa_tree_P.._18_10_groupi    20     0.110     8.662     9.943         18.605            18.715 
    csa_tree_P.._18_10_groupi    20     0.110     8.916    10.298         19.214            19.325 
    csa_tree_P.._18_10_groupi    20     0.110    10.117    11.683         21.800            21.910 
    csa_tree_P.._18_10_groupi    20     0.110     9.888    11.537         21.425            21.535 
    csa_tree_P.._18_10_groupi    20     0.110     8.894    10.279         19.173            19.283 
    csa_tree_P.._18_10_groupi    20     0.110     9.613    11.093         20.706            20.816 
    csa_tree_P.._18_10_groupi    20     0.110     8.596    10.045         18.641            18.751 
    csa_tree_P.._18_10_groupi    20     0.110     9.039    10.349         19.387            19.497 
    csa_tree_P.._18_10_groupi    20     0.110     8.564     9.858         18.422            18.532 
    csa_tree_P.._18_10_groupi    20     0.110     8.440     9.599         18.039            18.149 
    csa_tree_P.._18_10_groupi    20     0.110     9.214    10.681         19.895            20.005 
    addinc_PUs.._S0_add_18_16    24     0.107     5.943    13.905         19.849            19.956 
    addinc_PUs.._S0_add_18_16    24     0.107     6.188    14.622         20.810            20.917 
    addinc_PUs.._S0_add_18_16    24     0.107     5.876     9.600         15.475            15.582 
    addinc_PUs.._S0_add_18_16    24     0.107     5.314    12.553         17.868            17.975 
    addinc_PUs.._S0_add_18_16    24     0.107     5.767    13.605         19.372            19.480 
    addinc_PUs.._S0_add_18_16    24     0.107     5.800    13.398         19.198            19.305 
    addinc_PUs.._S0_add_18_16    24     0.107     6.118     9.898         16.016            16.123 
    addinc_PUs.._S0_add_18_16    24     0.107     5.367     8.903         14.270            14.377 
    addinc_PUs.._S0_add_18_16    24     0.107     5.791    13.617         19.407            19.514 
    addinc_PUs.._S0_add_18_16    24     0.107     5.713     9.425         15.138            15.245 
    addinc_PUs.._S0_add_18_16    24     0.107     5.897     9.641         15.538            15.645 
    addinc_PUs.._S0_add_18_16    24     0.107     6.037    14.190         20.227            20.334 
    addinc_PUs.._S0_add_18_16    24     0.107     5.353     8.711         14.064            14.171 
    addinc_PUs.._S0_add_18_16    24     0.107     5.392     8.703         14.095            14.202 
    addinc_PUs.._S0_add_18_16    24     0.107     5.280    12.423         17.702            17.809 
    addinc_PUs.._S0_add_18_16    24     0.107     5.248     8.726         13.973            14.080 
    addinc_PUs.._S0_add_18_16    24     0.107     4.926     8.063         12.989            13.096 
    addinc_PUs.._S0_add_18_16    24     0.107     6.119    14.475         20.594            20.701 
    addinc_PUs.._S0_add_18_16    24     0.107     5.777    13.335         19.112            19.219 
    addinc_PUs.._S0_add_18_16    24     0.107     5.314     8.911         14.225            14.332 
