============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  12:15:15 pm
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                          Module                       Cells  Cell Area  Net Area   Total Area 
-------------------------------------------------------------------------------------------------------------------------------------------
FME_INTER_6                                                                                        28239     160208     69721       229930 
  U_buffer                                       buffer_shift                                      16489      84168     41024       125192 
  U_inter                                        interpolation_bit_width10                          9631      63523     22193        85716 
    csa_tree_PUs_14__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_14__U_F8_U_S5_add_18_10_group_1365      51        427       101          529 
    csa_tree_PUs_15__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_15__U_F8_U_S5_add_18_10_group_1361      50        421       100          520 
    csa_tree_PUs_9__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_9__U_F8_U_S5_add_18_10_group_1385       49        422        97          519 
    csa_tree_PUs_8__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_8__U_F8_U_S5_add_18_10_group_1389       49        421        97          518 
    csa_tree_PUs_7__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_7__U_F8_U_S5_add_18_10_group_1393       49        420        97          517 
    csa_tree_PUs_9__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_9__U_F8_U_S25_add_18_10_group_1383      50        417       100          516 
    csa_tree_PUs_13__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_13__U_F8_U_S5_add_18_10_group_1369      49        417        97          514 
    csa_tree_PUs_12__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_12__U_F8_U_S5_add_18_10_group_1373      49        417        97          514 
    csa_tree_PUs_11__U_F8_U_S25_add_18_10_groupi csa_tree_PUs_11__U_F8_U_S25_add_18_10_group_1375     49        417        97          514 
    csa_tree_PUs_11__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_11__U_F8_U_S5_add_18_10_group_1377      49        417        97          514 
    csa_tree_PUs_10__U_F8_U_S25_add_18_10_groupi csa_tree_PUs_10__U_F8_U_S25_add_18_10_group_1379     49        417        97          514 
    csa_tree_PUs_10__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_10__U_F8_U_S5_add_18_10_group_1381      49        417        97          514 
    csa_tree_PUs_8__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_8__U_F8_U_S25_add_18_10_group_1387      49        417        97          514 
    csa_tree_PUs_7__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_7__U_F8_U_S25_add_18_10_group_1391      49        417        97          514 
    csa_tree_PUs_6__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_6__U_F8_U_S25_add_18_10_group_1395      49        417        97          514 
    csa_tree_PUs_5__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_5__U_F8_U_S25_add_18_10_group_1399      49        417        97          514 
    csa_tree_PUs_1__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_1__U_F8_U_S25_add_18_10_group_1415      53        408       105          513 
    csa_tree_PUs_16__U_F8_U_S5_add_18_10_groupi  csa_tree_PUs_16__U_F8_U_S5_add_18_10_group_1357      49        412        97          509 
    csa_tree_PUs_6__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_6__U_F8_U_S5_add_18_10_group_1397       49        410        97          507 
    csa_tree_PUs_4__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_4__U_F8_U_S5_add_18_10_group_1405       52        403       103          506 
    csa_tree_PUs_2__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_2__U_F8_U_S25_add_18_10_group_1411      52        403       103          506 
    csa_tree_PUs_3__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_3__U_F8_U_S25_add_18_10_group_1407      52        401       103          504 
    csa_tree_PUs_0__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_0__U_F8_U_S25_add_18_10_group_1419      53        399       105          503 
    csa_tree_PUs_5__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_5__U_F8_U_S5_add_18_10_group_1401       52        400       103          503 
    csa_tree_PUs_4__U_F8_U_S25_add_18_10_groupi  csa_tree_PUs_4__U_F8_U_S25_add_18_10_group_1403      52        400       103          503 
    csa_tree_PUs_3__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_3__U_F8_U_S5_add_18_10_group_1409       52        400       103          503 
    csa_tree_PUs_2__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_2__U_F8_U_S5_add_18_10_group_1413       52        400       103          503 
    csa_tree_PUs_1__U_F8_U_S5_add_18_10_groupi   csa_tree_PUs_1__U_F8_U_S5_add_18_10_group_1417       52        400       103          503 
    csa_tree_PUs_16__U_F8_U_S25_add_18_10_groupi csa_tree_PUs_16__U_F8_U_S25_add_18_10_group_1355     51        403       100          503 
