============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  03:29:17 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
---------------------------------------------------------------------------------
HS65_LSS_XNOR2X12         119      804.440      1.528     212.740    CORE65LPSVT 
HS65_LSS_XNOR2X18          28      291.200      0.633      42.533    CORE65LPSVT 
HS65_LSS_XNOR2X24           4       49.920      0.119       7.349    CORE65LPSVT 
HS65_LSS_XNOR2X3            1        4.160      0.004       0.603    CORE65LPSVT 
HS65_LSS_XNOR2X6         1030     4284.800      6.929     500.453    CORE65LPSVT 
HS65_LSS_XOR2X12            1        6.240      0.012       0.867    CORE65LPSVT 
HS65_LSS_XOR2X17            3       29.640      0.057       5.681    CORE65LPSVT 
HS65_LSS_XOR2X6           662     2753.920      3.885     361.453    CORE65LPSVT 
HS65_LSS_XOR3X2            97      756.600      0.523      43.450    CORE65LPSVT 
HS65_LS_AND2X18           444     1616.160      4.294     304.737    CORE65LPSVT 
HS65_LS_AND2X27           174      995.280      2.471     151.412    CORE65LPSVT 
HS65_LS_AND2X35            62      386.880      1.109      63.688    CORE65LPSVT 
HS65_LS_AND2X4            835     2171.000      1.601     129.370    CORE65LPSVT 
HS65_LS_AND2X9            387     1207.440      1.599     131.022    CORE65LPSVT 
HS65_LS_AND3X9            130      473.200      0.424      26.227    CORE65LPSVT 
HS65_LS_AO112X9           300     1248.000      1.536     113.985    CORE65LPSVT 
HS65_LS_AO12X18           184      765.440      1.926     142.965    CORE65LPSVT 
HS65_LS_AO12X27             3       20.280      0.048       3.424    CORE65LPSVT 
HS65_LS_AO12X9            863     3141.320      4.172     399.901    CORE65LPSVT 
HS65_LS_AO212X18            2       12.480      0.021       2.429    CORE65LPSVT 
HS65_LS_AO212X9            30      171.600      0.148      16.326    CORE65LPSVT 
HS65_LS_AO222X18           41      277.160      0.427      57.608    CORE65LPSVT 
HS65_LS_AO222X4         42476   242962.720    122.420   24825.613    CORE65LPSVT 
HS65_LS_AO222X9           810     5054.400      3.979     676.620    CORE65LPSVT 
HS65_LS_AO22X9             43      178.880      0.198      31.944    CORE65LPSVT 
HS65_LS_AO32X9            131      681.200      0.711      97.821    CORE65LPSVT 
HS65_LS_AOI112X4           32      116.480      0.122       6.533    CORE65LPSVT 
HS65_LS_AOI12X12          131      681.200      1.005      70.885    CORE65LPSVT 
