============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  04:57:36 pm
  Module:                 FME_PIPE_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                    Instance                                        Module                    Cells  Cell Area  Net Area   Total Area 
--------------------------------------------------------------------------------------------------------------------------------------
FME_PIPE_6                                                                                    79647     456119    179488       635607 
  U_inter                                        interpolation_bit_width10                    38446     207498     77139       284636 
    PUs[9].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_9             108        506       205          711 
    PUs[8].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_8             108        506       205          711 
    PUs[7].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_7             108        506       205          711 
    PUs[6].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_6             108        506       205          711 
    PUs[5].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_5             108        506       205          711 
    PUs[4].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_4             108        506       205          711 
    PUs[3].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_3             108        506       205          711 
    PUs[2].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_2             108        506       205          711 
    PUs[1].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2_1             108        506       205          711 
    PUs[0].U_F6_csa_tree_U_S25_add_18_10_groupi  csa_tree_U_S25_add_18_10_group_2               108        506       205          711 
    PUs[10].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612           98        502       190          692 
    PUs[1].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_1              106        492       200          692 
    PUs[9].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_9              105        490       198          688 
    PUs[8].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_8              105        485       198          683 
    PUs[7].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_7              105        485       198          683 
    PUs[6].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_6              105        485       198          683 
    PUs[5].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_5              105        485       198          683 
    PUs[4].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_4              105        485       198          683 
    PUs[3].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_3              105        485       198          683 
    PUs[2].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2_2              105        485       198          683 
    PUs[10].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611           102        486       194          680 
    PUs[21].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_11        105        480       198          678 
    PUs[20].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_10        105        480       198          678 
    PUs[19].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_9         105        480       198          678 
    PUs[18].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_8         105        480       198          678 
    PUs[17].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_7         105        480       198          678 
    PUs[16].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_6         105        480       198          678 
    PUs[15].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_5         105        480       198          678 
    PUs[14].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_4         105        480       198          678 
    PUs[13].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_3         105        480       198          678 
    PUs[11].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_1         105        480       198          678 
    PUs[12].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1611_2         104        478       196          674 
    PUs[0].U_F6_csa_tree_U_S5_add_18_10_groupi   csa_tree_U_S5_add_18_10_group_2                105        457       197          654 
    PUs[32].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_10        102        450       194          644 
    PUs[31].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_9         102        450       194          644 
    PUs[30].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_8         102        450       194          644 
    PUs[29].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_7         102        450       194          644 
    PUs[28].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_6         102        450       194          644 
    PUs[27].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_5         102        450       194          644 
    PUs[26].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_4         102        450       194          644 
    PUs[25].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_3         102        450       194          644 
    PUs[24].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_2         102        450       194          644 
    PUs[23].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608_1         102        450       194          644 
    PUs[22].U_F6_csa_tree_U_S5_add_18_10_groupi  csa_tree_U_S5_add_18_10_group_2_1608           102        450       194          644 
    PUs[21].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_11       101        451       193          644 
    PUs[20].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_10       101        451       193          644 
    PUs[19].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_9        101        451       193          644 
    PUs[18].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_8        101        451       193          644 
    PUs[17].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_7        101        451       193          644 
    PUs[16].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_6        101        451       193          644 
    PUs[15].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_5        101        451       193          644 
    PUs[14].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_4        101        451       193          644 
    PUs[13].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_3        101        451       193          644 
    PUs[12].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_2        101        451       193          644 
    PUs[11].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1612_1        101        451       193          644 
    PUs[32].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_10       101        436       193          629 
    PUs[31].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_9        101        436       193          629 
    PUs[30].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_8        101        436       193          629 
    PUs[29].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_7        101        436       193          629 
    PUs[28].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_6        101        436       193          629 
    PUs[27].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_5        101        436       193          629 
    PUs[26].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_4        101        436       193          629 
    PUs[25].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_3        101        436       193          629 
    PUs[24].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_2        101        436       193          629 
    PUs[23].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609_1        101        436       193          629 
    PUs[22].U_F6_csa_tree_U_S25_add_18_10_groupi csa_tree_U_S25_add_18_10_group_2_1609          101        436       193          629 
    PUs[1].U_F6_U_S12_add_41_16                  add_unsigned_70_9_1615                          90        357       145          502 
    PUs[12].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1642                         90        356       145          501 
    PUs[20].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1634                         90        354       145          499 
    PUs[18].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1636                         90        354       145          499 
    PUs[17].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1637                         90        354       145          499 
    PUs[16].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1638                         90        354       145          499 
    PUs[19].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1635                         90        354       145          499 
    PUs[14].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1640                         90        352       145          497 
    PUs[11].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1643                         90        352       145          497 
    PUs[15].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1639                         90        350       145          495 
    PUs[13].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1641                         90        348       144          493 
    PUs[10].U_F6_U_S12_add_41_16                 add_unsigned_70_21                              89        348       144          492 
    PUs[21].U_F6_U_S12_add_41_16                 add_unsigned_70_21_1633                         90        346       144          491 
    PUs[9].U_F6_U_S12_add_41_16                  add_unsigned_70_9_1616                          89        347       143          490 
    PUs[29].U_F6_U_S12_add_41_16                 add_unsigned_70_32_1624                         89        346       143          489 
    PUs[25].U_F6_U_S12_add_41_16                 add_unsigned_70_32_1628                         89        346       143          489 
