============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  04:57:50 pm
  Module:                 FME_PIPE_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
--------------------------------------------------------------------------------
HS65_LSS_XNOR2X12         313    2115.880      4.170     581.335    CORE65LPSVT 
HS65_LSS_XNOR2X18          44     457.600      0.982      71.835    CORE65LPSVT 
HS65_LSS_XNOR2X24          26     324.480      0.770      55.212    CORE65LPSVT 
HS65_LSS_XNOR2X3            3      12.480      0.010       1.982    CORE65LPSVT 
HS65_LSS_XNOR2X6         1950    8112.000     13.412    1321.578    CORE65LPSVT 
HS65_LSS_XNOR3X2            1       8.320      0.005       0.393    CORE65LPSVT 
HS65_LSS_XOR2X12           13      81.120      0.177      25.171    CORE65LPSVT 
HS65_LSS_XOR2X17            1       9.880      0.021       0.950    CORE65LPSVT 
HS65_LSS_XOR2X3             2       8.320      0.007       0.641    CORE65LPSVT 
HS65_LSS_XOR2X6           943    3922.880      5.476     834.139    CORE65LPSVT 
HS65_LSS_XOR3X2             1       7.800      0.005       0.409    CORE65LPSVT 
HS65_LS_AND2ABX18          16      66.560      0.145      15.438    CORE65LPSVT 
HS65_LS_AND2ABX27           2      11.440      0.028       3.509    CORE65LPSVT 
HS65_LS_AND2ABX9            1       3.640      0.004       0.000    CORE65LPSVT 
HS65_LS_AND2X18           481    1750.840      4.292     519.987    CORE65LPSVT 
HS65_LS_AND2X27            47     268.840      0.651      46.593    CORE65LPSVT 
HS65_LS_AND2X35             9      56.160      0.186      10.823    CORE65LPSVT 
HS65_LS_AND2X4            844    2194.400      1.828     352.227    CORE65LPSVT 
HS65_LS_AND2X9            414    1291.680      1.757     272.406    CORE65LPSVT 
HS65_LS_AND3X9              1       3.640      0.004       0.759    CORE65LPSVT 
HS65_LS_AO112X9             2       8.320      0.010       1.153    CORE65LPSVT 
HS65_LS_AO12X18            78     324.480      0.829      71.308    CORE65LPSVT 
HS65_LS_AO12X27            17     114.920      0.304      26.677    CORE65LPSVT 
