============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 16 2020  05:38:39 am
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
---------------------------------------------------------------------------------
HS65_LSS_XNOR2X12          72      486.720      0.951      46.501    CORE65LPSVT 
HS65_LSS_XNOR2X18           7       72.800      0.151       7.124    CORE65LPSVT 
HS65_LSS_XNOR2X24          21      262.080      0.623      29.585    CORE65LPSVT 
HS65_LSS_XNOR2X3           21       87.360      0.076       2.171    CORE65LPSVT 
HS65_LSS_XNOR2X6         6275    26104.000     41.769    1713.031    CORE65LPSVT 
HS65_LSS_XOR2X12           29      180.960      0.393      33.676    CORE65LPSVT 
HS65_LSS_XOR2X17           13      128.440      0.273      16.073    CORE65LPSVT 
HS65_LSS_XOR2X6          9679    40264.640     56.165    2863.622    CORE65LPSVT 
HS65_LSS_XOR3X2           440     3432.000      2.431     112.784    CORE65LPSVT 
HS65_LS_AND2ABX18           2        8.320      0.018       0.275    CORE65LPSVT 
HS65_LS_AND2ABX27           2       11.440      0.026       0.397    CORE65LPSVT 
HS65_LS_AND2X18           979     3563.560      9.946     374.032    CORE65LPSVT 
HS65_LS_AND2X27           138      789.360      2.131      40.867    CORE65LPSVT 
HS65_LS_AND2X35            12       74.880      0.272       5.099    CORE65LPSVT 
HS65_LS_AND2X4           5527    14370.200     12.242     893.838    CORE65LPSVT 
HS65_LS_AND2X9           1083     3378.960      5.031     230.469    CORE65LPSVT 
HS65_LS_AND3X18           124      580.320      1.641      65.323    CORE65LPSVT 
HS65_LS_AND3X27             8       54.080      0.148       2.988    CORE65LPSVT 
HS65_LS_AND3X35            16      124.800      0.402       7.526    CORE65LPSVT 
HS65_LS_AND3X9             78      283.920      0.461      24.574    CORE65LPSVT 
HS65_LS_AND4X13             2       12.480      0.032       0.535    CORE65LPSVT 
HS65_LS_AND4X19             3       32.760      0.078       0.978    CORE65LPSVT 
HS65_LS_AND4X25             2       26.000      0.058       1.066    CORE65LPSVT 
HS65_LS_AO112X9           963     4006.080      4.741     147.044    CORE65LPSVT 
HS65_LS_AO12X18           926     3852.160     10.260     276.522    CORE65LPSVT 
HS65_LS_AO12X27             9       60.840      0.158       3.150    CORE65LPSVT 
HS65_LS_AO12X9           4073    14825.720     19.753     707.881    CORE65LPSVT 
HS65_LS_AO212X4            46      215.280      0.134      15.490    CORE65LPSVT 
HS65_LS_AO22X9            810     3369.600      3.456     271.481    CORE65LPSVT 
HS65_LS_AO31X18            29      150.800      0.277       6.027    CORE65LPSVT 
HS65_LS_AO31X27            91      804.440      1.354      27.062    CORE65LPSVT 
HS65_LS_AO31X35             4       37.440      0.074       1.382    CORE65LPSVT 
HS65_LS_AO32X18            56      320.320      0.665      41.926    CORE65LPSVT 
HS65_LS_AO32X4            620     2901.600      1.442     137.598    CORE65LPSVT 
HS65_LS_AO32X9            261     1357.200      1.392      84.905    CORE65LPSVT 
HS65_LS_AOI12X12          124      644.800      1.033      22.375    CORE65LPSVT 
HS65_LS_AOI12X17           45      304.200      0.499      10.313    CORE65LPSVT 
HS65_LS_AOI12X2          1829     4755.400      2.276      89.745    CORE65LPSVT 
HS65_LS_AOI12X23            1        8.840      0.015       0.337    CORE65LPSVT 
HS65_LS_AOI12X6          1621     5057.520      5.991     296.344    CORE65LPSVT 
HS65_LS_AOI13X31            1       17.160      0.023       0.685    CORE65LPSVT 
HS65_LS_AOI21X12            6       31.200      0.044       1.034    CORE65LPSVT 
HS65_LS_AOI21X2           307      798.200      0.438      23.287    CORE65LPSVT 
HS65_LS_AOI21X6           304      948.480      1.062      51.847    CORE65LPSVT 
HS65_LS_AOI21X9            66      343.200      0.452      22.441    CORE65LPSVT 
HS65_LS_AOI22X6           274      997.360      1.132      33.365    CORE65LPSVT 
HS65_LS_BFX106           1098    13132.080     62.766     997.800    CORE65LPSVT 
HS65_LS_BFX142            356     5553.600     27.468     434.626    CORE65LPSVT 
HS65_LS_BFX18             768     2396.160      6.203     130.745    CORE65LPSVT 
HS65_LS_BFX213            150     3354.000     17.669     269.802    CORE65LPSVT 
HS65_LS_BFX27             868     3159.520     10.982     204.854    CORE65LPSVT 
HS65_LS_BFX31               5       26.000      0.078       1.329    CORE65LPSVT 
HS65_LS_BFX35             227     1180.400      3.949      70.987    CORE65LPSVT 
HS65_LS_BFX4                1        2.080      0.002       0.437    CORE65LPSVT 
HS65_LS_BFX44             285     1630.200      6.354     106.395    CORE65LPSVT 
HS65_LS_BFX53             662     4130.880     17.834     305.861    CORE65LPSVT 
HS65_LS_BFX62             235     1833.000      7.552     124.564    CORE65LPSVT 
HS65_LS_BFX7               11       22.880      0.030       3.524    CORE65LPSVT 
HS65_LS_BFX71             329     2737.280     12.179     201.475    CORE65LPSVT 
HS65_LS_BFX9              615     1279.200      2.206     125.168    CORE65LPSVT 
HS65_LS_CB4I1X18          151      785.200      1.813      38.264    CORE65LPSVT 
HS65_LS_CB4I1X27            2       17.680      0.034       0.882    CORE65LPSVT 
HS65_LS_CB4I1X9           169      703.040      0.706      29.623    CORE65LPSVT 
HS65_LS_CB4I6X18          310     1612.000      3.220     321.059    CORE65LPSVT 
HS65_LS_CB4I6X9          2948    12263.680     13.882    1648.432    CORE65LPSVT 
HS65_LS_CBI4I1X11         210     1310.400      2.632      56.414    CORE65LPSVT 
HS65_LS_CBI4I1X16          27      238.680      0.536      11.221    CORE65LPSVT 
HS65_LS_CBI4I1X5         1412     5139.680      6.767     371.697    CORE65LPSVT 
HS65_LS_CBI4I6X14          13      114.920      0.170       4.041    CORE65LPSVT 
HS65_LS_CBI4I6X5          257      935.480      0.950      23.815    CORE65LPSVT 
HS65_LS_CBI4I6X9           95      592.800      0.778      19.312    CORE65LPSVT 
HS65_LS_CNBFX10             1        3.120      0.005       0.639    CORE65LPSVT 
HS65_LS_CNIVX103           28      334.880      1.213      10.010    CORE65LPSVT 
HS65_LS_CNIVX124            7       98.280      0.380       2.841    CORE65LPSVT 
HS65_LS_CNIVX14             8       20.800      0.034       0.620    CORE65LPSVT 
HS65_LS_CNIVX21           125      390.000      0.804      19.123    CORE65LPSVT 
HS65_LS_CNIVX24             9       32.760      0.065       0.728    CORE65LPSVT 
HS65_LS_CNIVX27            94      342.160      0.836      18.783    CORE65LPSVT 
HS65_LS_CNIVX31             1        4.680      0.010       0.137    CORE65LPSVT 
HS65_LS_CNIVX34            40      187.200      0.460       5.419    CORE65LPSVT 
HS65_LS_CNIVX41            55      286.000      0.824       7.866    CORE65LPSVT 
HS65_LS_CNIVX48            14       87.360      0.238       2.633    CORE65LPSVT 
HS65_LS_CNIVX52             1        6.760      0.018       0.133    CORE65LPSVT 
HS65_LS_CNIVX55            24      162.240      0.495       4.902    CORE65LPSVT 
HS65_LS_CNIVX62            80      582.400      2.002      16.297    CORE65LPSVT 
HS65_LS_CNIVX7            500      780.000      0.918      18.225    CORE65LPSVT 
HS65_LS_CNIVX82            48      474.240      1.652      14.059    CORE65LPSVT 
HS65_LS_DFPHQX9         21285   221364.000    213.993  103249.330    CORE65LPSVT 
HS65_LS_DFPRQNX9         1030    10712.000     10.138    3124.923    CORE65LPSVT 
HS65_LS_DFPRQX18          140     1528.800      1.848     438.506    CORE65LPSVT 
HS65_LS_DFPRQX27           28      334.880      0.466      91.281    CORE65LPSVT 
HS65_LS_DFPRQX35            8       99.840      0.161      27.523    CORE65LPSVT 
HS65_LS_DFPRQX9           154     1601.600      1.542     470.488    CORE65LPSVT 
HS65_LS_FA1X18           7186   100891.440    174.851   13167.342    CORE65LPSVT 
HS65_LS_FA1X27           3614    77050.480    136.081   10658.428    CORE65LPSVT 
HS65_LS_FA1X35              2       53.040      0.104       4.073    CORE65LPSVT 
HS65_LS_FA1X4           89156   834500.160    557.370   60977.876    CORE65LPSVT 
HS65_LS_FA1X9           29227   319158.840    319.444   37560.211    CORE65LPSVT 
HS65_LS_HA1X18           1365     9937.200     29.121    1518.634    CORE65LPSVT 
HS65_LS_HA1X27             27      322.920      0.935      43.770    CORE65LPSVT 
HS65_LS_HA1X35             49      662.480      2.344     162.032    CORE65LPSVT 
HS65_LS_HA1X4            9906    51511.200     51.636    2697.331    CORE65LPSVT 
HS65_LS_HA1X9            2521    15731.040     24.477    1309.294    CORE65LPSVT 
HS65_LS_IVX106            106      937.040      4.533      40.449    CORE65LPSVT 
HS65_LS_IVX13               2        4.160      0.009       0.279    CORE65LPSVT 
HS65_LS_IVX142              8       95.680      0.462       3.540    CORE65LPSVT 
HS65_LS_IVX18           16956    35268.480     89.879    1364.169    CORE65LPSVT 
HS65_LS_IVX213              7      120.120      0.612       5.450    CORE65LPSVT 
HS65_LS_IVX27            3021     9425.520     27.900     382.908    CORE65LPSVT 
HS65_LS_IVX284              1       22.360      0.116       0.470    CORE65LPSVT 
HS65_LS_IVX31             143      520.520      1.573      21.937    CORE65LPSVT 
HS65_LS_IVX35            2221     8084.440     27.739     331.530    CORE65LPSVT 
HS65_LS_IVX40              26      108.160      0.375       4.196    CORE65LPSVT 
HS65_LS_IVX44            1293     5378.880     20.879     211.846    CORE65LPSVT 
HS65_LS_IVX49              29      150.800      0.536       8.018    CORE65LPSVT 
HS65_LS_IVX53             993     5163.600     19.924     191.126    CORE65LPSVT 
HS65_LS_IVX62             136      777.920      3.212      29.727    CORE65LPSVT 
HS65_LS_IVX7               25       39.000      0.051       2.002    CORE65LPSVT 
HS65_LS_IVX71             205     1279.200      5.645      47.330    CORE65LPSVT 
HS65_LS_IVX9            57685    89988.600    141.293    3546.837    CORE65LPSVT 
HS65_LS_MUX21I1X12       1814    12262.640     23.566     724.963    CORE65LPSVT 
HS65_LS_MUX21I1X18        844     8777.600     17.656     502.711    CORE65LPSVT 
HS65_LS_MUX21I1X24        185     2308.800      5.144     117.221    CORE65LPSVT 
HS65_LS_MUX21I1X6         200      832.000      1.305      34.793    CORE65LPSVT 
HS65_LS_MUX21X18          306     1909.440      5.450     141.441    CORE65LPSVT 
HS65_LS_MUX21X27           15      140.400      0.388      10.064    CORE65LPSVT 
HS65_LS_MUX21X4            79      328.640      0.394      17.417    CORE65LPSVT 
HS65_LS_MUX21X9           115      538.200      0.919      35.673    CORE65LPSVT 
HS65_LS_MUXI21X10          62      515.840      0.759      39.751    CORE65LPSVT 
HS65_LS_MUXI21X15          24      249.600      0.452      22.591    CORE65LPSVT 
HS65_LS_MUXI21X2            1        3.640      0.003       0.088    CORE65LPSVT 
HS65_LS_MUXI21X5          122      570.960      0.703      26.225    CORE65LPSVT 
HS65_LS_MX41X7            296     2308.800      2.461     125.221    CORE65LPSVT 
HS65_LS_NAND2AX14        1683     7001.280     16.064     340.086    CORE65LPSVT 
HS65_LS_NAND2AX21         949     5428.280     12.929     277.373    CORE65LPSVT 
HS65_LS_NAND2AX29         147      993.720      2.854      56.127    CORE65LPSVT 
HS65_LS_NAND2AX7         4986    15556.320     22.565     536.983    CORE65LPSVT 
HS65_LS_NAND2X11          252      917.280      1.088      44.143    CORE65LPSVT 
HS65_LS_NAND2X14         4933    17956.120     35.939     662.103    CORE65LPSVT 
HS65_LS_NAND2X21         1872     9734.400     22.733     376.235    CORE65LPSVT 
HS65_LS_NAND2X29          523     3263.520      9.061     117.965    CORE65LPSVT 
HS65_LS_NAND2X43          168     1485.120      4.808      56.433    CORE65LPSVT 
HS65_LS_NAND2X57            7       83.720      0.183       2.875    CORE65LPSVT 
HS65_LS_NAND2X7         25010    52020.800     68.836    2035.501    CORE65LPSVT 
HS65_LS_NAND3AX19           1        7.800      0.008       0.193    CORE65LPSVT 
HS65_LS_NAND3AX25           1        9.880      0.022       0.348    CORE65LPSVT 
HS65_LS_NAND3AX6          279     1015.560      1.399      26.479    CORE65LPSVT 
HS65_LS_NAND3X13            3       15.600      0.019       0.139    CORE65LPSVT 
HS65_LS_NAND3X19            7       47.320      0.115       1.899    CORE65LPSVT 
HS65_LS_NAND3X25           16      141.440      0.374       5.426    CORE65LPSVT 
HS65_LS_NAND3X38           66      858.000      2.249      30.776    CORE65LPSVT 
HS65_LS_NAND3X5           110      286.000      0.344      18.617    CORE65LPSVT 
HS65_LS_NAND3X50           14      240.240      0.627       8.030    CORE65LPSVT 
HS65_LS_NAND3X6            92      287.040      0.411      20.497    CORE65LPSVT 
HS65_LS_NAND4ABX13          1        6.760      0.012       0.198    CORE65LPSVT 
HS65_LS_NAND4ABX6           1        4.160      0.005       0.106    CORE65LPSVT 
HS65_LS_NOR2AX13         1208     5025.280     11.858     366.624    CORE65LPSVT 
HS65_LS_NOR2AX19          179     1023.880      2.691      78.676    CORE65LPSVT 
HS65_LS_NOR2AX25           53      358.280      1.233      19.952    CORE65LPSVT 
HS65_LS_NOR2AX3          7818    20326.800     19.435     735.399    CORE65LPSVT 
HS65_LS_NOR2AX6           960     2995.200      4.354     176.283    CORE65LPSVT 
HS65_LS_NOR2X13          2203     8018.920     13.006     436.518    CORE65LPSVT 
HS65_LS_NOR2X19           639     3322.800      6.413     131.799    CORE65LPSVT 
HS65_LS_NOR2X25           195     1216.800      2.798      44.966    CORE65LPSVT 
HS65_LS_NOR2X38           136     1202.240      3.450      45.417    CORE65LPSVT 
HS65_LS_NOR2X5              2        4.160      0.004       0.249    CORE65LPSVT 
HS65_LS_NOR2X50            15      179.400      0.580       7.596    CORE65LPSVT 
HS65_LS_NOR2X6          18981    39480.480     54.389    1741.298    CORE65LPSVT 
HS65_LS_NOR2X9            188      684.320      0.971      48.584    CORE65LPSVT 
HS65_LS_NOR3AX2            68      212.160      0.201       4.497    CORE65LPSVT 
HS65_LS_NOR3X4            505     1313.000      1.767      95.234    CORE65LPSVT 
HS65_LS_NOR3X9             58      271.440      0.474      18.024    CORE65LPSVT 
HS65_LS_NOR4ABX13           5       49.400      0.081       1.346    CORE65LPSVT 
HS65_LS_NOR4ABX4           59      245.440      0.302       6.136    CORE65LPSVT 
HS65_LS_NOR4ABX9           63      393.120      0.630      11.714    CORE65LPSVT 
HS65_LS_OA112X18          284     1329.120      3.014     210.973    CORE65LPSVT 
HS65_LS_OA112X9           342     1422.720      1.984      60.800    CORE65LPSVT 
HS65_LS_OA12X18           384     1597.440      4.175     124.302    CORE65LPSVT 
HS65_LS_OA12X27            60      436.800      1.026      21.872    CORE65LPSVT 
HS65_LS_OA12X9           2273     8273.720     10.714     541.641    CORE65LPSVT 
HS65_LS_OA212X18            2       12.480      0.022       0.467    CORE65LPSVT 
HS65_LS_OA212X27            1       10.400      0.019       0.556    CORE65LPSVT 
