============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 13 2020  06:10:23 pm
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                   Instance                                     Module                    Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------
filter_sharp                                                                              99551     580095    216351       796445 
  S0[8].U0                                    filter_8taps_bit_width10_8                   5673      33170     11802        44972 
  S0[9].U0                                    filter_8taps_bit_width10_9                   5716      32831     11833        44663 
  S0[13].U0                                   filter_8taps_bit_width10_13                  5761      32585     11916        44501 
  S0[14].U0                                   filter_8taps_bit_width10_14                  5760      32565     11933        44498 
  S0[2].U0                                    filter_8taps_bit_width10_2                   5790      32486     12004        44490 
  S0[7].U0                                    filter_8taps_bit_width10_7                   5775      32394     11974        44369 
  S0[15].U0                                   filter_8taps_bit_width10_15                  5671      32522     11715        44237 
  S0[11].U0                                   filter_8taps_bit_width10_11                  5727      32264     11859        44123 
  S0[6].U0                                    filter_8taps_bit_width10_6                   5584      32459     11636        44095 
  S0[16].U0                                   filter_8taps_bit_width10_16                  5624      32124     11678        43801 
  S0[3].U0                                    filter_8taps_bit_width10_3                   5611      31826     11681        43507 
  S0[4].U0                                    filter_8taps_bit_width10_4                   5559      31302     11533        42835 
  S0[1].U0                                    filter_8taps_bit_width10_1                   5547      31216     11573        42789 
  S0[5].U0                                    filter_8taps_bit_width10_5                   5534      30988     11575        42563 
  S0[0].U0                                    filter_8taps_bit_width10                     5573      30871     11644        42515 
  S0[10].U0_csa_tree_U_S7_6_add_59_12_groupi  csa_tree_U_S7_6_add_59_12_group_277_716       173       1035       329         1364 
  S0[10].U0_csa_tree_U_S12_6_add_59_12_groupi csa_tree_U_S12_6_add_59_12_group_257_736      167        835       298         1133 
  S0[12].U0_csa_tree_U_S12_6_add_59_12_groupi csa_tree_U_S12_6_add_59_12_group_257_1_739    132        796       252         1048 
  S0[10].U0_csa_tree_U_S9_6_add_59_12_groupi  csa_tree_U_S9_6_add_59_12_group_275_722        87        841       171         1012 
  S0[10].U0_csa_tree_fac2_groupi              csa_tree_fac2_group_253_743                   126        786       209          995 
  S0[12].U0_csa_tree_U_S7_6_add_59_12_groupi  csa_tree_U_S7_6_add_59_12_group_277_1_718      93        775       178          953 
  S0[12].U0_csa_tree_fac2_groupi              csa_tree_fac2_group_253_1_745                 124        735       204          939 
  S0[12].U0_csa_tree_U_S3_5_add_59_8_groupi   csa_tree_U_S3_5_add_59_8_group_323_1_699      125        707       213          920 
  S0[12].U0_csa_tree_U_S9_6_add_59_12_groupi  csa_tree_U_S9_6_add_59_12_group_275_1_725      98        718       193          911 
  S0[10].U0_csa_tree_U_S4_4_add_59_8_groupi   csa_tree_U_S4_4_add_59_8_group_301_702        122        699       207          906 
