============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 13 2020  06:10:24 pm
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                   Instance                                     Module                    Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------------------------------------------------------
filter_sharp                                                                              99551     580095    216351       796445 
  S0[8].U0                                    filter_8taps_bit_width10_8                   5673      33170     11802        44972 
    csa_tree_U_S13_6_add_59_8_groupi          csa_tree_U_S13_6_add_59_8_group_307_1_545     159       1109       291         1400 
    csa_tree_U_S3_6_add_59_8_groupi           csa_tree_U_S3_6_add_59_8_group_309_1_528      157       1094       292         1386 
    csa_tree_U_S12_6_add_59_12_groupi         csa_tree_U_S12_6_add_59_12_group_257_1_544    134        850       252         1101 
    csa_tree_U_S9_6_add_59_12_groupi          csa_tree_U_S9_6_add_59_12_group_275_1_538      86        869       170         1039 
    csa_tree_U_S3_5_add_59_8_groupi           csa_tree_U_S3_5_add_59_8_group_323_492_1      133        802       223         1025 
    csa_tree_fac2_groupi                      csa_tree_fac2_group_253_523_1                 128        805       211         1016 
    csa_tree_U_S4_4_add_59_8_groupi           csa_tree_U_S4_4_add_59_8_group_301_496_1      106        763       191          954 
    csa_tree_U_S7_6_add_59_12_groupi          csa_tree_U_S7_6_add_59_12_group_277_1_536      94        752       185          937 
    csa_tree_U_S10_6_add_59_12_groupi         csa_tree_U_S10_6_add_59_12_group_283_1_540     95        749       182          931 
    csa_tree_U_S6_6_add_59_12_groupi          csa_tree_U_S6_6_add_59_12_group_285_1_534      90        752       175          927 
    csa_tree_U_S1_4_add_59_8_groupi           csa_tree_U_S1_4_add_59_8_group_329_1_526      112        723       199          922 
    csa_tree_U_S9_4_add_59_8_groupi           csa_tree_U_S9_4_add_59_8_group_269_507_1      113        716       199          915 
    csa_tree_U_S12_2_add_84_9_groupi          csa_tree_U_S12_2_add_84_9_group_299_513_1     125        651       219          870 
    csa_tree_fac1_groupi                      csa_tree_fac1_group_255_522_1                 114        620       202          822 
    csa_tree_U_S14_5_add_59_8_groupi          csa_tree_U_S14_5_add_59_8_group_267_518_1     111        610       196          806 
    csa_tree_U_S15_4_add_59_8_groupi          csa_tree_U_S15_4_add_59_8_group_327_1_547     106        597       190          787 
    csa_tree_U_S2_6_add_59_8_groupi           csa_tree_U_S2_6_add_59_8_group_313_491_1       90        618       167          784 
    csa_tree_U_S14_6_add_59_8_groupi          csa_tree_U_S14_6_add_59_8_group_311_519_1      90        616       166          782 
    U_S12_7_add_59_8                          add_signed_460_946                            101        524       172          696 
    csa_tree_U_S1_5_add_59_8_groupi           csa_tree_U_S1_5_add_59_8_group_325_489_1       91        500       172          672 
    csa_tree_U_S11_6_add_59_12_groupi         csa_tree_U_S11_6_add_59_12_group_261_1_542     66        524       121          645 
    csa_tree_U_S15_5_add_59_8_groupi          csa_tree_U_S15_5_add_59_8_group_321_521_1      92        453       171          625 
    csa_tree_U_S9_3_add_84_9_groupi           csa_tree_U_S9_3_add_84_9_group_279_1_537       66        427       115          543 
    csa_tree_U_S4_7_add_59_12_groupi          csa_tree_U_S4_7_add_59_12_group_295_1_530      54        436        99          535 
