============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 14 2020  09:04:21 pm
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

  Instance              Module            Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------
filter_sharp                             117995     708061    283247       991309 
  S0[24].U0  filter_8taps_bit_width10_24   3408      19757      7527        27285 
  S0[17].U0  filter_8taps_bit_width10_17   3374      19601      7458        27059 
  S0[23].U0  filter_8taps_bit_width10_23   3413      19512      7541        27054 
  S0[14].U0  filter_8taps_bit_width10_14   3354      19615      7421        27035 
  S0[13].U0  filter_8taps_bit_width10_13   3335      19537      7391        26928 
  S0[22].U0  filter_8taps_bit_width10_22   3351      19503      7414        26918 
  S0[16].U0  filter_8taps_bit_width10_16   3371      19466      7441        26907 
  S0[20].U0  filter_8taps_bit_width10_20   3342      19501      7396        26896 
  S0[29].U0  filter_8taps_bit_width10_29   3384      19442      7442        26885 
  S0[21].U0  filter_8taps_bit_width10_21   3347      19459      7396        26855 
  S0[25].U0  filter_8taps_bit_width10_25   3347      19433      7416        26849 
  S0[15].U0  filter_8taps_bit_width10_15   3351      19425      7421        26846 
  S0[12].U0  filter_8taps_bit_width10_12   3335      19458      7386        26844 
  S0[9].U0   filter_8taps_bit_width10_9    3326      19401      7362        26762 
  S0[5].U0   filter_8taps_bit_width10_5    3317      19414      7345        26759 
  S0[11].U0  filter_8taps_bit_width10_11   3327      19382      7358        26741 
  S0[26].U0  filter_8taps_bit_width10_26   3347      19327      7414        26741 
  S0[7].U0   filter_8taps_bit_width10_7    3324      19352      7356        26708 
  S0[28].U0  filter_8taps_bit_width10_28   3341      19315      7358        26673 
  S0[18].U0  filter_8taps_bit_width10_18   3381      19126      7453        26579 
  S0[8].U0   filter_8taps_bit_width10_8    3344      19190      7381        26570 
  S0[19].U0  filter_8taps_bit_width10_19   3385      19105      7461        26567 
  S0[27].U0  filter_8taps_bit_width10_27   3412      19016      7540        26556 
  S0[2].U0   filter_8taps_bit_width10_2    3356      19154      7402        26555 
  S0[4].U0   filter_8taps_bit_width10_4    3340      19176      7376        26552 
  S0[6].U0   filter_8taps_bit_width10_6    3327      19146      7365        26510 
  S0[10].U0  filter_8taps_bit_width10_10   3337      19130      7367        26497 
  S0[0].U0   filter_8taps_bit_width10      3335      19119      7371        26489 
  S0[30].U0  filter_8taps_bit_width10_30   3319      19135      7290        26425 
  S0[31].U0  filter_8taps_bit_width10_31   3374      18930      7417        26346 
  S0[3].U0   filter_8taps_bit_width10_3    3315      19006      7330        26336 
  S0[32].U0  filter_8taps_bit_width10_32   3382      18853      7466        26319 
  S0[1].U0   filter_8taps_bit_width10_1    3301      18858      7255        26113 
