============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 15 2020  01:21:58 am
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

  Instance              Module            Cells  Cell Area  Net Area   Total Area 
----------------------------------------------------------------------------------
filter_sharp                             228214    1350818    551266      1902084 
  S0[4].U0   filter_8taps_bit_width10_4    3279      18969      7242        26211 
  S0[63].U0  filter_8taps_bit_width10_63   3304      18868      7281        26149 
  S0[55].U0  filter_8taps_bit_width10_55   3300      18835      7286        26121 
  S0[49].U0  filter_8taps_bit_width10_49   3313      18760      7296        26056 
  S0[36].U0  filter_8taps_bit_width10_36   3317      18732      7319        26051 
  S0[51].U0  filter_8taps_bit_width10_51   3314      18713      7314        26027 
  S0[38].U0  filter_8taps_bit_width10_38   3312      18688      7312        26000 
  S0[12].U0  filter_8taps_bit_width10_12   3287      18731      7268        25999 
  S0[23].U0  filter_8taps_bit_width10_23   3313      18682      7313        25995 
  S0[11].U0  filter_8taps_bit_width10_11   3315      18674      7316        25990 
  S0[39].U0  filter_8taps_bit_width10_39   3284      18725      7265        25990 
  S0[28].U0  filter_8taps_bit_width10_28   3314      18671      7315        25986 
  S0[18].U0  filter_8taps_bit_width10_18   3275      18728      7255        25983 
  S0[14].U0  filter_8taps_bit_width10_14   3276      18718      7260        25978 
  S0[8].U0   filter_8taps_bit_width10_8    3300      18692      7283        25975 
  S0[15].U0  filter_8taps_bit_width10_15   3297      18672      7279        25951 
  S0[29].U0  filter_8taps_bit_width10_29   3290      18669      7274        25943 
  S0[20].U0  filter_8taps_bit_width10_20   3335      18559      7383        25943 
  S0[25].U0  filter_8taps_bit_width10_25   3336      18555      7386        25941 
  S0[37].U0  filter_8taps_bit_width10_37   3283      18673      7263        25936 
  S0[21].U0  filter_8taps_bit_width10_21   3304      18643      7293        25936 
  S0[16].U0  filter_8taps_bit_width10_16   3279      18675      7259        25934 
  S0[9].U0   filter_8taps_bit_width10_9    3277      18675      7254        25930 
  S0[43].U0  filter_8taps_bit_width10_43   3283      18663      7263        25926 
  S0[33].U0  filter_8taps_bit_width10_33   3267      18673      7245        25919 
  S0[42].U0  filter_8taps_bit_width10_42   3310      18606      7309        25915 
  S0[30].U0  filter_8taps_bit_width10_30   3313      18581      7313        25895 
  S0[54].U0  filter_8taps_bit_width10_54   3263      18658      7236        25894 
  S0[52].U0  filter_8taps_bit_width10_52   3280      18637      7256        25893 
  S0[24].U0  filter_8taps_bit_width10_24   3287      18622      7270        25892 
  S0[35].U0  filter_8taps_bit_width10_35   3285      18606      7270        25877 
  S0[41].U0  filter_8taps_bit_width10_41   3253      18645      7226        25871 
  S0[47].U0  filter_8taps_bit_width10_47   3283      18608      7262        25870 
  S0[60].U0  filter_8taps_bit_width10_60   3271      18647      7222        25868 
  S0[45].U0  filter_8taps_bit_width10_45   3248      18661      7207        25868 
  S0[44].U0  filter_8taps_bit_width10_44   3286      18582      7284        25866 
  S0[48].U0  filter_8taps_bit_width10_48   3248      18645      7208        25854 
  S0[46].U0  filter_8taps_bit_width10_46   3314      18519      7314        25833 
  S0[53].U0  filter_8taps_bit_width10_53   3251      18620      7212        25831 
  S0[34].U0  filter_8taps_bit_width10_34   3283      18551      7267        25818 
  S0[31].U0  filter_8taps_bit_width10_31   3277      18563      7253        25817 
  S0[58].U0  filter_8taps_bit_width10_58   3257      18591      7221        25812 
  S0[26].U0  filter_8taps_bit_width10_26   3276      18559      7245        25804 
  S0[22].U0  filter_8taps_bit_width10_22   3251      18581      7215        25796 
  S0[61].U0  filter_8taps_bit_width10_61   3311      18487      7304        25791 
  S0[6].U0   filter_8taps_bit_width10_6    3294      18507      7277        25783 
  S0[64].U0  filter_8taps_bit_width10_64   3254      18574      7209        25783 
  S0[32].U0  filter_8taps_bit_width10_32   3265      18523      7241        25765 
  S0[40].U0  filter_8taps_bit_width10_40   3248      18541      7218        25759 
  S0[56].U0  filter_8taps_bit_width10_56   3276      18504      7255        25759 
  S0[27].U0  filter_8taps_bit_width10_27   3284      18491      7257        25748 
  S0[19].U0  filter_8taps_bit_width10_19   3251      18520      7212        25731 
  S0[13].U0  filter_8taps_bit_width10_13   3245      18512      7206        25718 
  S0[5].U0   filter_8taps_bit_width10_5    3241      18515      7197        25713 
  S0[17].U0  filter_8taps_bit_width10_17   3279      18430      7250        25680 
  S0[62].U0  filter_8taps_bit_width10_62   3268      18457      7217        25674 
  S0[50].U0  filter_8taps_bit_width10_50   3246      18445      7204        25650 
  S0[59].U0  filter_8taps_bit_width10_59   3274      18370      7247        25617 
  S0[10].U0  filter_8taps_bit_width10_10   3246      18406      7203        25610 
  S0[3].U0   filter_8taps_bit_width10_3    3264      18343      7226        25569 
  S0[7].U0   filter_8taps_bit_width10_7    3258      18298      7242        25541 
  S0[0].U0   filter_8taps_bit_width10      3262      18180      7252        25432 
  S0[57].U0  filter_8taps_bit_width10_57   3259      18199      7230        25429 
  S0[2].U0   filter_8taps_bit_width10_2    3247      18213      7193        25406 
  S0[1].U0   filter_8taps_bit_width10_1    3251      18182      7181        25363 
