============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 13 2020  12:34:47 pm
  Module:                 filter_sharp
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                  Instance                                     Module                    Cells  Cell Area  Net Area   Total Area 
---------------------------------------------------------------------------------------------------------------------------------
filter_sharp                                                                             60807     346687    128840       475527 
  S0[3].U0                                   filter_8taps_bit_width10_3                   6741      37735     13710        51445 
    csa_tree_U_S7_6_add_59_12_groupi         csa_tree_U_S7_6_add_59_12_group_277           164       1082       309         1391 
    csa_tree_U_S9_6_add_59_12_groupi         csa_tree_U_S9_6_add_59_12_group_275           174       1017       326         1343 
    csa_tree_U_S10_6_add_59_12_groupi        csa_tree_U_S10_6_add_59_12_group_283          141       1003       269         1272 
    csa_tree_U_S12_6_add_59_12_groupi        csa_tree_U_S12_6_add_59_12_group_257          160        982       287         1268 
    csa_tree_U_S13_6_add_59_8_groupi         csa_tree_U_S13_6_add_59_8_group_307           136        953       262         1216 
    csa_tree_U_S6_6_add_59_12_groupi         csa_tree_U_S6_6_add_59_12_group_285           130        943       248         1192 
    csa_tree_U_S3_6_add_59_8_groupi          csa_tree_U_S3_6_add_59_8_group_309            147        901       280         1181 
    csa_tree_U_S12_2_add_84_9_groupi         csa_tree_U_S12_2_add_84_9_group_299           147        845       254         1099 
    csa_tree_fac2_groupi                     csa_tree_fac2_group_253                       139        863       228         1091 
    csa_tree_U_S4_4_add_59_8_groupi          csa_tree_U_S4_4_add_59_8_group_301            125        873       217         1089 
    csa_tree_fac1_groupi                     csa_tree_fac1_group_255                       136        810       223         1032 
    csa_tree_U_S9_4_add_59_8_groupi          csa_tree_U_S9_4_add_59_8_group_269            118        787       203          990 
    csa_tree_U_S3_5_add_59_8_groupi          csa_tree_U_S3_5_add_59_8_group_323            116        669       199          868 
    csa_tree_U_S4_2_add_84_9_groupi          csa_tree_U_S4_2_add_84_9_group_303            122        619       233          851 
    csa_tree_U_S14_5_add_59_8_groupi         csa_tree_U_S14_5_add_59_8_group_267           122        620       209          828 
    csa_tree_U_S15_4_add_59_8_groupi         csa_tree_U_S15_4_add_59_8_group_327            98        640       169          809 
    csa_tree_U_S4_3_add_84_9_groupi          csa_tree_U_S4_3_add_84_9_group_301            114        597       208          805 
    csa_tree_U_S1_4_add_59_8_groupi          csa_tree_U_S1_4_add_59_8_group_329             91        645       159          804 
    csa_tree_U_S11_6_add_59_12_groupi        csa_tree_U_S11_6_add_59_12_group_261          114        581       216          797 
    U_S12_7_add_59_8                         add_signed_305_463                            108        521       179          700 
    csa_tree_U_S9_3_add_84_9_groupi          csa_tree_U_S9_3_add_84_9_group_279             91        535       158          693 
    csa_tree_U_S8_5_add_59_8_groupi          csa_tree_U_S8_5_add_59_8_group_273             97        505       180          685 
    csa_tree_U_S14_6_add_59_8_groupi         csa_tree_U_S14_6_add_59_8_group_311            89        500       163          663 
    csa_tree_U_S4_7_add_59_12_groupi         csa_tree_U_S4_7_add_59_12_group_295            57        561       101          663 
    U_S3_7_add_59_8                          add_signed_305                                107        473       181          654 
    csa_tree_U_S7_3_add_84_9_groupi          csa_tree_U_S7_3_add_84_9_group_281             84        489       147          635 
    csa_tree_U_S15_5_add_59_8_groupi         csa_tree_U_S15_5_add_59_8_group_321            85        472       160          632 
    csa_tree_U_S1_5_add_59_8_groupi          csa_tree_U_S1_5_add_59_8_group_325             78        457       145          602 
    U_S7_7_add_59_8                          add_signed_265_475                             97        422       162          585 
    U_S13_7_add_59_8                         add_signed_305_462                             90        421       152          573 
    U_S9_7_add_59_8                          add_signed_265_474                            101        398       171          568 
    csa_tree_U_S5_7_add_59_12_groupi         csa_tree_U_S5_7_add_59_12_group_293            68        443       123          566 
    csa_tree_U_S12_3_add_84_9_groupi         csa_tree_U_S12_3_add_84_9_group_259            58        423       105          528 
    U_S14_7_add_59_8                         add_signed_317                                 97        360       164          524 
    csa_tree_U_S2_6_add_59_8_groupi          csa_tree_U_S2_6_add_59_8_group_313             48        438        83          521 
    U_S2_7_add_59_8                          add_signed_317_1255                            97        349       164          513 
    csa_tree_U_S2_3_add_84_9_groupi          csa_tree_U_S2_3_add_84_9_group_319             66        382       116          498 
    csa_tree_U_S14_3_add_84_9_groupi         csa_tree_U_S14_3_add_84_9_group_317            66        374       116          491 
    csa_tree_U_S8_7_add_59_12_groupi         csa_tree_U_S8_7_add_59_12_group_271            43        396        79          475 
    csa_tree_U_S11_3_add_84_9_groupi         csa_tree_U_S11_3_add_84_9_group_263            40        330        67          397 
    csa_tree_U_S5_2_add_84_9_groupi          csa_tree_U_S5_2_add_84_9_group_291             40        332        64          396 
    csa_tree_U_S10_3_add_84_9_groupi         csa_tree_U_S10_3_add_84_9_group_265            46        311        75          387 
    U_S6_7_add_59_8                          add_signed_265_1276                            48        322        62          385 
    U_S10_7_add_59_8                         add_signed_265                                 48        320        62          382 
    csa_tree_U_S6_3_add_84_9_groupi          csa_tree_U_S6_3_add_84_9_group_287             41        313        69          382 
    U_S11_7_add_59_8                         add_signed_265_472                             46        318        59          377 
    U_S1_6_add_59_8                          add_signed_336_1228                            41        307        62          369 
    U_S15_6_add_59_8                         add_signed_336                                 41        298        62          360 
  S0[5].U0                                   filter_8taps_bit_width10_5                   6801      37395     13824        51219 
    csa_tree_U_S7_6_add_59_12_groupi         csa_tree_U_S7_6_add_59_12_group_277_344       175       1072       325         1396 
    csa_tree_U_S9_6_add_59_12_groupi         csa_tree_U_S9_6_add_59_12_group_275_349       166       1033       316         1349 
    csa_tree_U_S12_6_add_59_12_groupi        csa_tree_U_S12_6_add_59_12_group_257_356      163        961       301         1263 
    csa_tree_U_S13_6_add_59_8_groupi         csa_tree_U_S13_6_add_59_8_group_307_357       153        965       285         1250 
    csa_tree_U_S10_6_add_59_12_groupi        csa_tree_U_S10_6_add_59_12_group_283_351      149        927       282         1209 
    csa_tree_U_S3_6_add_59_8_groupi          csa_tree_U_S3_6_add_59_8_group_309_334        162        887       300         1186 
    csa_tree_U_S12_2_add_84_9_groupi         csa_tree_U_S12_2_add_84_9_group_299_354       153        875       262         1138 
    csa_tree_U_S6_6_add_59_12_groupi         csa_tree_U_S6_6_add_59_12_group_285_342       128        856       252         1108 
    csa_tree_U_S9_4_add_59_8_groupi          csa_tree_U_S9_4_add_59_8_group_269_348        135        882       224         1106 
    csa_tree_U_S4_4_add_59_8_groupi          csa_tree_U_S4_4_add_59_8_group_301_337        124        872       220         1092 
    csa_tree_fac2_groupi                     csa_tree_fac2_group_253_364                   136        774       221          994 
    csa_tree_fac1_groupi                     csa_tree_fac1_group_255_363                   140        746       232          978 
    csa_tree_U_S3_5_add_59_8_groupi          csa_tree_U_S3_5_add_59_8_group_323_333        119        687       197          884 
    csa_tree_U_S11_6_add_59_12_groupi        csa_tree_U_S11_6_add_59_12_group_261_353      121        628       227          855 
    csa_tree_U_S4_2_add_84_9_groupi          csa_tree_U_S4_2_add_84_9_group_303_335        120        619       231          850 
    csa_tree_U_S15_4_add_59_8_groupi         csa_tree_U_S15_4_add_59_8_group_327_361        97        675       169          844 
    csa_tree_U_S4_3_add_84_9_groupi          csa_tree_U_S4_3_add_84_9_group_301_336        118        627       214          842 
    csa_tree_U_S14_5_add_59_8_groupi         csa_tree_U_S14_5_add_59_8_group_267_359       118        627       202          829 
    csa_tree_U_S14_6_add_59_8_groupi         csa_tree_U_S14_6_add_59_8_group_311_360        94        606       169          776 
    csa_tree_U_S1_4_add_59_8_groupi          csa_tree_U_S1_4_add_59_8_group_329_329         80        577       148          725 
    csa_tree_U_S2_6_add_59_8_groupi          csa_tree_U_S2_6_add_59_8_group_313_332         92        543       167          711 
    U_S12_7_add_59_8                         add_signed_462_948                            103        522       175          697 
    U_S3_7_add_59_8                          add_signed_462_1256                           105        496       177          673 
    csa_tree_U_S15_5_add_59_8_groupi         csa_tree_U_S15_5_add_59_8_group_321_362        88        510       163          673 
    U_S7_7_add_59_8                          add_signed_422_992_1259                       106        488       177          665 
    U_S13_7_add_59_8                         add_signed_462_944_1271                       104        484       175          659 
    csa_tree_U_S9_3_add_84_9_groupi          csa_tree_U_S9_3_add_84_9_group_279_347         84        512       144          656 
    csa_tree_U_S4_7_add_59_12_groupi         csa_tree_U_S4_7_add_59_12_group_295_338        63        522       113          634 
    csa_tree_U_S7_3_add_84_9_groupi          csa_tree_U_S7_3_add_84_9_group_281_343         84        485       141          626 
    U_S6_7_add_59_8                          add_signed_422_1253                            98        427       164          591 
    csa_tree_U_S8_5_add_59_8_groupi          csa_tree_U_S8_5_add_59_8_group_273_345         90        423       168          591 
    U_S9_7_add_59_8                          add_signed_422_991_1282                        98        423       166          590 
    csa_tree_U_S5_7_add_59_12_groupi         csa_tree_U_S5_7_add_59_12_group_293_340        62        464       114          577 
    csa_tree_U_S1_5_add_59_8_groupi          csa_tree_U_S1_5_add_59_8_group_325_330         75        415       139          554 
    csa_tree_U_S12_3_add_84_9_groupi         csa_tree_U_S12_3_add_84_9_group_259_355        55        427       101          528 
    U_S11_7_add_59_8                         add_signed_422_989                             92        342       156          498 
    csa_tree_U_S8_7_add_59_12_groupi         csa_tree_U_S8_7_add_59_12_group_271_346        46        385        82          467 
    csa_tree_U_S14_3_add_84_9_groupi         csa_tree_U_S14_3_add_84_9_group_317_358        62        336       112          448 
    csa_tree_U_S2_3_add_84_9_groupi          csa_tree_U_S2_3_add_84_9_group_319_331         59        341       104          445 
    csa_tree_U_S11_3_add_84_9_groupi         csa_tree_U_S11_3_add_84_9_group_263_352        49        327        79          406 
    csa_tree_U_S6_3_add_84_9_groupi          csa_tree_U_S6_3_add_84_9_group_287_341         39        325        66          391 
    U_S10_7_add_59_8                         add_signed_422_990_1272                        53        311        73          385 
    U_S2_7_add_59_8                          add_signed_474_1268                            53        301        76          376 
    U_S14_7_add_59_8                         add_signed_474_1269                            47        301        63          363 
    csa_tree_U_S5_2_add_84_9_groupi          csa_tree_U_S5_2_add_84_9_group_291_339         40        289        66          355 
    U_S1_6_add_59_8                          add_signed_493_1244                            54        275        76          351 
    csa_tree_U_S10_3_add_84_9_groupi         csa_tree_U_S10_3_add_84_9_group_265_350        42        276        69          345 
    U_S15_6_add_59_8                         add_signed_493_920_1238                        52        240        72          312 
  S0[6].U0                                   filter_8taps_bit_width10_6                   6656      37095     13551        50647 
    csa_tree_U_S7_6_add_59_12_groupi         csa_tree_U_S7_6_add_59_12_group_277_1_380     177       1062       326         1388 
    csa_tree_U_S9_6_add_59_12_groupi         csa_tree_U_S9_6_add_59_12_group_275_1_383     163        987       310         1297 
    csa_tree_U_S13_6_add_59_8_groupi         csa_tree_U_S13_6_add_59_8_group_307_1_391     155        972       289         1261 
    csa_tree_U_S3_6_add_59_8_groupi          csa_tree_U_S3_6_add_59_8_group_309_1_371      159        909       291         1200 
    csa_tree_U_S10_6_add_59_12_groupi        csa_tree_U_S10_6_add_59_12_group_283_1_385    145        894       277         1171 
    csa_tree_U_S12_6_add_59_12_groupi        csa_tree_U_S12_6_add_59_12_group_257_1_390    152        883       280         1163 
    csa_tree_U_S12_2_add_84_9_groupi         csa_tree_U_S12_2_add_84_9_group_299_1_388     146        911       251         1162 
    csa_tree_U_S9_4_add_59_8_groupi          csa_tree_U_S9_4_add_59_8_group_269_348_1      133        889       220         1109 
    csa_tree_U_S4_4_add_59_8_groupi          csa_tree_U_S4_4_add_59_8_group_301_337_1      127        881       224         1105 
    csa_tree_U_S6_6_add_59_12_groupi         csa_tree_U_S6_6_add_59_12_group_285_1_378     129        810       252         1062 
    csa_tree_fac2_groupi                     csa_tree_fac2_group_253_364_1                 130        766       213          979 
    csa_tree_fac1_groupi                     csa_tree_fac1_group_255_363_1                 136        726       225          952 
    csa_tree_U_S11_6_add_59_12_groupi        csa_tree_U_S11_6_add_59_12_group_261_1_387    118        674       223          898 
    csa_tree_U_S4_2_add_84_9_groupi          csa_tree_U_S4_2_add_84_9_group_303_1_372      119        655       229          884 
